BOAMP_AVIS_NUM,D_11_01_Conditiondelai_Receptcandidat,D_11_02_Conditiondelai_Receptoffres,D_11_03_Conditiondelai_Limiteenvoiinvit,D_11_04_Conditiondelai_Validiteoffre,D_11_04_01_Conditiondelai_Validiteoffre_Jusquau,D_11_04_02_Conditiondelai_Validiteoffre_Dureemois,D_11_04_03_Conditiondelai_Validiteoffre_Dureejour,D_11_05_Conditiondelai_Dureesystemequalification
17-108960,,2017-09-19 09:00:00,,CF_NIV_SUIV,,5.0,,
17-108963,,2017-08-18 11:00:00,,CF_NIV_SUIV,,,120.0,
17-108964,,2017-08-24 11:00:00,,CF_NIV_SUIV,,3.0,,
17-108969,,2017-08-30 11:00:00,,CF_NIV_SUIV,,,90.0,
17-108970,,2017-09-15 10:30:00,2017-10-19 22:00:00,CF_NIV_SUIV,,6.0,,
17-108972,,2017-08-30 11:00:00,,CF_NIV_SUIV,,,90.0,
17-108974,,2017-08-28 11:00:00,,CF_NIV_SUIV,,,120.0,
17-108976,,2017-09-14 10:00:00,,CF_NIV_SUIV,,6.0,,
17-108977,,2017-09-14 14:30:00,,CF_NIV_SUIV,,,180.0,
17-108979,,2017-09-06 11:00:00,,CF_NIV_SUIV,,,,
17-108980,,2017-09-07 11:00:00,,CF_NIV_SUIV,,4.0,,
17-108983,,2017-10-06 11:00:00,,CF_NIV_SUIV,,,120.0,
17-108985,,2017-09-18 11:00:00,,CF_NIV_SUIV,,4.0,,
17-108988,,2017-09-07 09:00:00,,CF_NIV_SUIV,,6.0,,
17-108991,,2017-09-05 14:30:00,,CF_NIV_SUIV,,,90.0,
17-108993,,2017-09-13 11:00:00,,CF_NIV_SUIV,,,120.0,
17-108994,,2017-09-18 15:00:00,,CF_NIV_SUIV,,,180.0,
17-108995,,2017-09-18 15:00:00,,CF_NIV_SUIV,,6.0,,
17-108997,,2017-08-28 11:00:00,,CF_NIV_SUIV,,,90.0,
17-109000,,2017-08-10 15:00:00,,CF_NIV_SUIV,,,,
17-109002,,2017-09-11 15:00:00,,CF_NIV_SUIV,,6.0,,
17-109003,,2017-09-18 11:00:00,,CF_NIV_SUIV,,,,
17-109004,,2017-09-19 11:00:00,,CF_NIV_SUIV,,,240.0,
