BOAMP_AVIS_NUM,D_20_01_Annexed3_Infructueuxrestreinte,D_20_02_Annexed3_Infructueuxdialogue,D_20_03_Annexed3_Infructueuxnegocieesspub,D_20_04_Annexed3_Autreservice,D_20_05_Annexed3_Recherche,D_20_06_Annexed3_Offresirregulieres,D_20_07_Annexed3_Raisonstechniques,D_20_08_Annexed3_Proprieteintellectuelle,D_20_09_Annexed3_Delaisincompatibles,D_20_10_Annexed3_Urgenceimperieuse,D_20_11_Annexed3_Marchecomplementaire,D_20_12_Annexed3_Prestationsidentiques,D_20_13_Annexed3_Matierespremieres,D_20_14_Annexed3_Cessationactivite,D_20_15_Annexed3_Liquidateurs,D_20_16_Annexed3_Servicemartime,D_20_17_Annexed3_Horsscope,D_20_18_Annexed3_Serviceslistes,D_20_19_Annexed3_Explication
17-45948,,,,,,,,,,,,,,,,,"<?xml version=""1.0"" encoding=""UTF-16""?>
<HORS_SCOPE xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""/>",,"<?xml version=""1.0"" encoding=""UTF-16""?>
<EXPLICATION xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">Ne pas tenir compte de la mention ci-dessus. La consultation objet du présent avis d'intention de conclure, concerne une procédure adaptée avec mise en concurrence en application de l'article 27 du décret no 2016-360 du 25 mars 2016, seuil inférieure aux procédure formalisées.Une publication a été faite au BOAMP le 9 janvier 2017. Avis no 17-3547. Lots 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15.Le lot 4 a fait l'objet d'une deuxième consultation parue au BOAMP le 6 mars 2017 N° 174-30273.Conformément à l'article L.551-15 du code de justice administrative, la COBAS ne procèdera à la conclusion du contrat qu'après avoir observé un délai de 11 jours après la présente publication.</EXPLICATION>"
